"Run ID","User ID","User Name","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"y95gw8rz","j0nvl6w8","Mario Kart Wii","1.0","2.0","26.532","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y95gw8rz","2020-02-18"
"m31840gz","x7q2l1v8","Mario Kart Wii","1.0","19.0","1.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/m31840gz","2020-02-19"
"zqrokw5y","jn39062x","Mario Kart Wii","1.0","24.0","16.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/zqrokw5y","2020-02-20"
"zqrorv5y","8l0pqe28","Mario Kart Wii","1.0","22.0","23.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/zqrorv5y","2020-02-22"
"y8142nxz","1xyp20zx","Mario Kart Wii","1.0","3.0","7.914","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/y8142nxz","2020-02-21"
"z1j4xlgz","8rpp37wj","Mario Kart Wii","0","58.0","29.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/z1j4xlgz","2020-02-24"
"yv3k82xz","8l0pqe28","Mario Kart Wii","1.0","21.0","13.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/yv3k82xz","2020-02-26"
"y214nl6z","zx71p46x","Mario Kart Wii","0","33.0","9.187","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/y214nl6z","2020-02-29"
"y95qenez","zx72p0r8","Mario Kart Wii","1.0","3.0","28.097","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y95qenez","2020-02-28"
"z57443nm","qjoqz4e8","Mario Kart Wii","0","9.0","31.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/z57443nm","2020-03-01"
"yw49eppz","qjn3w4xm","Mario Kart Wii","1.0","3.0","28.879","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/yw49eppz","2020-03-02"
"yj301p3z","qjn3w4xm","Mario Kart Wii","1.0","5.0","23.608","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/yj301p3z","2020-03-05"
"zp4j398z","qjn3w4xm","Mario Kart Wii","1.0","3.0","31.961","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zp4j398z","2020-03-05"
"y6l19o1y","jo33g00j","Mario Kart Wii","0","9.0","34.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y6l19o1y","2020-03-06"
"znrn7j8y","jo33g00j","Mario Kart Wii","0","9.0","27.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/znrn7j8y","2020-03-07"
"zp4jgqvz","qjoqz4e8","Mario Kart Wii","0","7.0","16.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zp4jgqvz","2020-03-08"
"z1jek49z","18ql6ydj","Mario Kart Wii","7.0","40.0","16.004","v06dk3e4","Wii","rejected","https://www.speedrun.com/api/v1/runs/z1jek49z","2020-03-09"
"mexr888z","8e9ko4oj","Mario Kart Wii","11.0","19.0","46.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/mexr888z","2020-03-14"
"mexr899z","8e9ko4oj","Mario Kart Wii","1.0","19.0","46.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/mexr899z","2020-03-14"
"y8159kdz","v81gmep8","Mario Kart Wii","0","7.0","15.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y8159kdz","2020-03-14"
"y6lk53jy","8e9ko4oj","Mario Kart Wii","0","40.0","43.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y6lk53jy","2020-03-14"
"y21l53wz","v81gmep8","Mario Kart Wii","0","9.0","52.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y21l53wz","2020-03-15"
"y6lk5g0y","v81gmep8","Mario Kart Wii","0","7.0","11.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/y6lk5g0y","2020-03-15"
"mre39vgy","qjo9go0j","Mario Kart Wii","0","32.0","53.691","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/mre39vgy","2020-03-14"
"m7qr815z","j5w2ryzj","Mario Kart Wii","0","59.0","54.397","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/m7qr815z","2020-03-16"
"m31en8gz","5j5ywqw8","Mario Kart Wii","1.0","18.0","24.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/m31en8gz","2020-03-16"
"z579xojm","x7qkzoq8","Mario Kart Wii","0","7.0","11.578","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/z579xojm","2020-03-17"
"yj3ndegz","7j4193mj","Mario Kart Wii","0","44.0","38.0","v06dk3e4","Wii","verified","https://www.speedrun.com/api/v1/runs/yj3ndegz","2020-03-18"
"mexrl18z","j5w2ryzj","Mario Kart Wii","1.0","0","24.133","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/mexrl18z","2020-03-17"
