"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"y6pw96qm","kjpg5p2j","DaniëlHarteveld","Any%","0","7.0","19.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/y6pw96qm","2019-03-22"
"zn467o9m","kjpg5p2j","DaniëlHarteveld","Any%","0","7.0","15.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zn467o9m","2019-03-23"
"yvjex6oy","kjpg5p2j","DaniëlHarteveld","Any%","0","7.0","10.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/yvjex6oy","2019-03-26"
"ywpox83z","kjpg5p2j","DaniëlHarteveld","Any%","0","7.0","51.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/ywpox83z","2019-03-26"
"zg71owez","kjpg5p2j","DaniëlHarteveld","Any%","0","11.0","48.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zg71owez","2019-03-26"
"yo28xk0z","kjpg5p2j","DaniëlHarteveld","Any%","0","10.0","51.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/yo28xk0z","2019-03-24"
"zp0vxrxm","kjpg5p2j","DaniëlHarteveld","Any%","0","5.0","44.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zp0vxrxm","2019-03-24"
"yd3pl5vz","kjpg5p2j","DaniëlHarteveld","Any%","0","9.0","32.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/yd3pl5vz","2019-03-25"
"z110nqjz","kjpg5p2j","DaniëlHarteveld","All Castles","1.0","49.0","1.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/z110nqjz","2019-03-27"
"ywp71r3z","68we5e48","CoolFullon","Any%","1.0","3.0","15.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/ywp71r3z","2019-04-03"
"m7p4q50m","68we5e48","CoolFullon","Any%","0","53.0","52.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/m7p4q50m","2019-04-03"
"yj4vl9dy","68we5e48","CoolFullon","Any%","0","1.0","18.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/yj4vl9dy","2019-04-04"
"zx4r2xey","68we5e48","CoolFullon","Any%","0","2.0","43.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/zx4r2xey","2019-04-04"
"mk9n3rlz","68we5e48","CoolFullon","Any%","0","0","49.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/mk9n3rlz","2019-04-04"
"y92q0wrz","68we5e48","CoolFullon","Any%","0","1.0","17.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/y92q0wrz","2019-04-04"
"m3o45pgm","68we5e48","CoolFullon","100%","0","1.0","2.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/m3o45pgm","2019-04-04"
"zq3owl1y","68we5e48","CoolFullon","Any%","0","1.0","7.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zq3owl1y","2019-04-04"
"m7p4d8wm","68we5e48","CoolFullon","Any%","0","3.0","5.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/m7p4d8wm","2019-04-05"
"mr8p147y","68we5e48","CoolFullon","Any%","0","6.0","48.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/mr8p147y","2019-04-06"
"ywp7k12z","68we5e48","CoolFullon","Any%","0","2.0","4.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/ywp7k12z","2019-04-06"
"zn4l7n7m","kjpg5p2j","DaniëlHarteveld","Any%","0","1.0","46.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/zn4l7n7m","2019-04-02"
"ywp7j93z","kjpg5p2j","DaniëlHarteveld","Any%","0","3.0","21.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/ywp7j93z","2019-04-02"
